regulatory	KO
Dapma7bEVm014374t1	K08872
Dapma7bEVm020106t1	
Dapma7bEVm017493t1	
Dapma7bEVm020160t1	K00079
Dapma7bEVm019412t1	K00382
Dapma7bEVm024930t1	
Dapma7bEVm017547t1	
Dapma7bEVm017628t1	K03661
Dapma7bEVm017616t1	
Dapma7bEVm020340t1	K14842
Dapma7bEVm017660t1	K02935
Dapma7bEVm017525t1	K14455
Dapma7bEVm024551t1	
Dapma7bEVm017060t1	
Dapma7bEVm021576t1	K08762
Dapma7bEVm014368t1	
Dapma7bEVm019272t1	K09487
Dapma7bEVm020312t1	K04097
Dapma7bEVm019533t1	K01647
Dapma7bEVm020398t1	K02150
Dapma7bEVm024802t1	K20011
Dapma7bEVm021682t1	K03946
Dapma7bEVm020550t1	K03113
Dapma7bEVm019519t1	K00819
Dapma7bEVm020129t1	
Dapma7bEVm017609t1	K05687
Dapma7bEVm025701t1	K00236
Dapma7bEVm019790t1	K03521
Dapma7bEVm020227t1	K04513
Dapma7bEVm019530t1	K03881
Dapma7bEVm024472t1	K03260
Dapma7bEVm020030t1	
Dapma7bEVm024749t1	K15041
Dapma7bEVm020879t1	K02975
Dapma7bEVm021190t1	K03968
Dapma7bEVm019536t1	
Dapma7bEVm020877t1	K02942
Dapma7bEVm021086t1	K02908
Dapma7bEVm017565t1	K14073
Dapma7bEVm019308t1	K14999
Dapma7bEVm019777t1	
Dapma7bEVm021764t1	K02971
Dapma7bEVm019760t1	K02936
Dapma7bEVm019580t1	K00413
Dapma7bEVm019503t1	K00030
Dapma7bEVm020187t1	K03952
Dapma7bEVm020601t1	K02983
Dapma7bEVm019647t1	K17081
Dapma7bEVm019878t1	K03841
Dapma7bEVm025627t1	K06846
Dapma7bEVm024648t1	K04374
Dapma7bEVm024647t1	K24335
Dapma7bEVm020570t1	K20352
Dapma7bEVm019662t1	K00477
Dapma7bEVm024537t1	K17300
Dapma7bEVm014379t1	K10089
Dapma7bEVm019923t1	K02865
Dapma7bEVm020559t1	K02951
Dapma7bEVm019295t1	K14999
Dapma7bEVm019870t1	
Dapma7bEVm022172t1	K08738
Dapma7bEVm019554t1	K02941
Dapma7bEVm019510t1	
Dapma7bEVm020084t1	K02993
Dapma7bEVm020730t1	K08752
Dapma7bEVm016727t1	K09290
Dapma7bEVm024617t1	K09028
Dapma7bEVm019883t1	K21889
Dapma7bEVm020307t1	K07874
Dapma7bEVm021236t1	K02183
Dapma7bEVm020083t1	K02940
Dapma7bEVm021157t1	K02929
Dapma7bEVm019780t1	K00011
Dapma7bEVm021516t1	K03958
Dapma7bEVm019960t1	K02989
Dapma7bEVm019789t1	K03098
Dapma7bEVm020839t1	K04565
Dapma7bEVm021549t1	
Dapma7bEVm025281t1	
Dapma7bEVm021924t1	
Dapma7bEVm021845t1	K02922
Dapma7bEVm018532t1	
Dapma7bEVm020415t1	
Dapma7bEVm009287t1	K25745
Dapma7bEVm008225t1	
Dapma7bEVm019084t1	
Dapma7bEVm007244t1	
Dapma7bEVm028412t1	
Dapma7bEVm024465t1	
Dapma7bEVm015804t1	
Dapma7bEVm013793t1	
Dapma7bEVm029117t1	
Dapma7bEVm022755t1	
Dapma7bEVm029002t1	
Dapma7bEVm011825t1	
Dapma7bEVm029110t1	
Dapma7bEVm023269t1	
Dapma7bEVm028166t1	K01047
Dapma7bEVm009283t1	K11878
Dapma7bEVm025478t1	
Dapma7bEVm016529t1	
Dapma7bEVm020658t1	K11254
Dapma7bEVm020901t1	K11254
Dapma7bEVm028969t1	
Dapma7bEVm008169t1	
Dapma7bEVm012269t1	
Dapma7bEVm024188t1	
Dapma7bEVm029029t1	
Dapma7bEVm016537t1	
Dapma7bEVm013848t1	K22764
Dapma7bEVm007243t1	
Dapma7bEVm012606t1	
Dapma7bEVm012311t1	K25452
Dapma7bEVm008578t1	K07925
Dapma7bEVm029301t1	
Dapma7bEVm028120t1	
Dapma7bEVm027610t1	
Dapma7bEVm024696t1	
Dapma7bEVm027972t1	
Dapma7bEVm012274t1	K14464
Dapma7bEVm007833t1	K14819
Dapma7bEVm004386t1	
Dapma7bEVm011753t1	K04797
Dapma7bEVm029169t1	
Dapma7bEVm012593t1	
Dapma7bEVm012326t1	
Dapma7bEVm022343t1	
Dapma7bEVm029162t1	
Dapma7bEVm005084t1	
Dapma7bEVm023883t1	
Dapma7bEVm016380t1	
Dapma7bEVm028905t1	K25167
Dapma7bEVm006600t1	
Dapma7bEVm028701t1	K25727
Dapma7bEVm011221t1	K24125
Dapma7bEVm007830t1	K19942
Dapma7bEVm029106t1	
Dapma7bEVm010948t1	K06580
Dapma7bEVm008043t1	
Dapma7bEVm008192t1	K10903
Dapma7bEVm027845t1	
Dapma7bEVm011822t1	
Dapma7bEVm008184t1	K19995
Dapma7bEVm029019t1	K14165
Dapma7bEVm007184t1	
Dapma7bEVm027851t1	
Dapma7bEVm008567t1	K17262
Dapma7bEVm020189t1	
Dapma7bEVm008340t1	
Dapma7bEVm020386t1	
Dapma7bEVm022783t1	
Dapma7bEVm026745t1	
Dapma7bEVm003059t1	K25167
Dapma7bEVm019298t1	
Dapma7bEVm029118t1	
Dapma7bEVm004996t1	
Dapma7bEVm028040t1	K00875
Dapma7bEVm024193t1	
Dapma7bEVm019310t1	K22290
Dapma7bEVm016716t1	
Dapma7bEVm028154t1	
Dapma7bEVm028619t1	K10733
Dapma7bEVm006506t1	K09035
Dapma7bEVm017094t1	K11254
Dapma7bEVm006238t1	K10582
Dapma7bEVm028603t1	
Dapma7bEVm017082t1	
Dapma7bEVm028378t1	
Dapma7bEVm028636t1	
Dapma7bEVm007266t1	K15113
Dapma7bEVm005922t1	K12259
Dapma7bEVm028647t1	K15001
Dapma7bEVm011744t1	
Dapma7bEVm023240t1	
Dapma7bEVm010977t1	
Dapma7bEVm027532t1	
Dapma7bEVm002744t1	K01183
Dapma7bEVm013028t1	
Dapma7bEVm027738t1	
Dapma7bEVm024941t1	
Dapma7bEVm028711t1	
Dapma7bEVm010580t1	
Dapma7bEVm029509t1	
Dapma7bEVm007666t1	
Dapma7bEVm001795t1	
Dapma7bEVm023357t1	
Dapma7bEVm028407t1	
Dapma7bEVm029358t1	
Dapma7bEVm016751t1	
Dapma7bEVm019379t1	
Dapma7bEVm019329t1	K17732
Dapma7bEVm020767t1	
Dapma7bEVm020781t1	K02918
Dapma7bEVm022198t1	K03263
Dapma7bEVm021600t1	
Dapma7bEVm022405t1	K02273
Dapma7bEVm020014t1	K02866
Dapma7bEVm024942t1	K10135
Dapma7bEVm017686t1	
Dapma7bEVm020560t1	
Dapma7bEVm017593t1	K02127
Dapma7bEVm020657t1	K02903
Dapma7bEVm019745t1	K07511
Dapma7bEVm017564t1	
Dapma7bEVm017032t1	
Dapma7bEVm013019t1	K06751
Dapma7bEVm017615t1	
Dapma7bEVm020609t1	
Dapma7bEVm025021t1	K10583
Dapma7bEVm019520t1	K00134
Dapma7bEVm017530t1	K12314
Dapma7bEVm021707t1	K02978
Dapma7bEVm019435t1	K01915
Dapma7bEVm024872t1	K06696
Dapma7bEVm021116t1	
Dapma7bEVm020344t1	
Dapma7bEVm017544t1	K01365
Dapma7bEVm020983t1	K02265
Dapma7bEVm020365t1	K02138
Dapma7bEVm025362t1	
Dapma7bEVm024965t1	
Dapma7bEVm021321t1	K09481
Dapma7bEVm019746t1	K06630
Dapma7bEVm020277t1	K00236
Dapma7bEVm019754t1	
Dapma7bEVm019648t1	K10373
Dapma7bEVm021158t1	
Dapma7bEVm021461t1	
Dapma7bEVm017642t1	K17279
Dapma7bEVm020715t1	
Dapma7bEVm020878t1	
Dapma7bEVm021251t1	
Dapma7bEVm021286t1	
Dapma7bEVm021285t1	
Dapma7bEVm017622t1	
Dapma7bEVm019850t1	
Dapma7bEVm020558t1	
Dapma7bEVm017716t1	K02131
Dapma7bEVm021115t1	
Dapma7bEVm020537t1	K02264
Dapma7bEVm020235t1	K02137
Dapma7bEVm017662t1	
Dapma7bEVm022229t1	K02267
Dapma7bEVm026646t1	
Dapma7bEVm019782t1	K01834
Dapma7bEVm020888t1	K02920
Dapma7bEVm017068t1	
Dapma7bEVm019531t1	K00026
Dapma7bEVm029133t1	K05692
Dapma7bEVm017089t1	
Dapma7bEVm025544t1	K12159
Dapma7bEVm021402t1	K02130
Dapma7bEVm020981t1	K08752
Dapma7bEVm019726t1	
Dapma7bEVm017497t1	K02147
Dapma7bEVm020324t1	K03962
Dapma7bEVm014373t1	K08568
Dapma7bEVm021620t1	
Dapma7bEVm012443t1	
Dapma7bEVm022713t1	
Dapma7bEVm019200t1	
Dapma7bEVm010221t1	
Dapma7bEVm019179t1	
Dapma7bEVm011724t1	
Dapma7bEVm019300t1	
Dapma7bEVm024554t1	
Dapma7bEVm029082t1	
Dapma7bEVm014346t1	K04256
Dapma7bEVm009582t1	K08840
Dapma7bEVm028058t1	
Dapma7bEVm019248t1	
Dapma7bEVm019213t1	
Dapma7bEVm019506t1	
Dapma7bEVm019117t1	
Dapma7bEVm008004t1	K09382
Dapma7bEVm012589t1	
Dapma7bEVm019699t1	K23318
Dapma7bEVm019280t1	
Dapma7bEVm006464t1	
Dapma7bEVm030427t1	
Dapma7bEVm022751t1	
Dapma7bEVm022781t1	
Dapma7bEVm029095t1	
Dapma7bEVm019485t1	
Dapma7bEVm023462t1	
Dapma7bEVm013341t1	
Dapma7bEVm017618t1	
Dapma7bEVm023909t1	
Dapma7bEVm020095t1	
Dapma7bEVm023984t1	
Dapma7bEVm010677t1	
Dapma7bEVm019202t1	
Dapma7bEVm016038t1	
Dapma7bEVm024126t1	
Dapma7bEVm024297t1	
Dapma7bEVm012763t1	
Dapma7bEVm030429t1	
Dapma7bEVm008774t1	K14464
Dapma7bEVm022618t1	
Dapma7bEVm019541t1	K14464
Dapma7bEVm020105t1	K13084
Dapma7bEVm017078t1	K11254
Dapma7bEVm006220t1	
Dapma7bEVm028245t1	
Dapma7bEVm015671t1	K14007
Dapma7bEVm015164t1	K00287
Dapma7bEVm012427t1	
Dapma7bEVm013012t1	K04153
Dapma7bEVm010574t1	
Dapma7bEVm009039t1	
Dapma7bEVm028768t1	
Dapma7bEVm003026t1	K12472
Dapma7bEVm020022t1	
Dapma7bEVm026958t1	K11254
Dapma7bEVm009030t1	
Dapma7bEVm008430t1	K09542
Dapma7bEVm006123t1	K02265
Dapma7bEVm010781t1	
Dapma7bEVm019355t1	
Dapma7bEVm007980t1	K05181
Dapma7bEVm023085t1	K14464
Dapma7bEVm028665t1	K08031
Dapma7bEVm028596t1	
Dapma7bEVm028602t1	
Dapma7bEVm006546t1	K04397
Dapma7bEVm024044t1	K04255
Dapma7bEVm028549t1	K14464
Dapma7bEVm007031t1	
Dapma7bEVm021575t1	
Dapma7bEVm029290t1	
Dapma7bEVm008370t1	
Dapma7bEVm027989t1	
Dapma7bEVm024381t1	
Dapma7bEVm016709t1	
Dapma7bEVm024615t1	
Dapma7bEVm024038t1	
Dapma7bEVm029534t1	
Dapma7bEVm023653t1	
Dapma7bEVm015736t1	
Dapma7bEVm015806t1	
Dapma7bEVm029435t1	
Dapma7bEVm015687t1	K12834
Dapma7bEVm013801t1	
Dapma7bEVm027407t1	
Dapma7bEVm015241t1	
Dapma7bEVm029634t1	
Dapma7bEVm015963t1	
Dapma7bEVm028930t1	
Dapma7bEVm028628t1	
Dapma7bEVm007215t1	K02583
Dapma7bEVm007206t1	K18437
Dapma7bEVm028875t1	K23617
Dapma7bEVm028595t1	K10858
Dapma7bEVm008343t1	K05122
Dapma7bEVm028033t1	K06210
Dapma7bEVm029705t1	
Dapma7bEVm029025t1	
Dapma7bEVm028009t1	
Dapma7bEVm008635t1	
Dapma7bEVm015858t1	K01183
Dapma7bEVm009074t1	
Dapma7bEVm029052t1	
Dapma7bEVm023335t1	
Dapma7bEVm019140t1	K05030
Dapma7bEVm009690t1	
Dapma7bEVm014963t1	K09173
Dapma7bEVm028000t1	K17686
Dapma7bEVm028296t1	
Dapma7bEVm012428t1	
Dapma7bEVm010851t1	
Dapma7bEVm025269t1	K07935
Dapma7bEVm001029t1	
Dapma7bEVm029254t1	K14464
Dapma7bEVm007801t1	K20840
Dapma7bEVm019086t1	
Dapma7bEVm016532t1	
Dapma7bEVm018772t1	
Dapma7bEVm012266t1	
Dapma7bEVm019767t1	
Dapma7bEVm015910t1	K10949
Dapma7bEVm019661t1	
Dapma7bEVm019109t1	
Dapma7bEVm011535t1	
Dapma7bEVm020015t1	K10840
Dapma7bEVm019422t1	K03257
Dapma7bEVm017029t1	
Dapma7bEVm013816t1	K08059
Dapma7bEVm014859t1	
Dapma7bEVm016722t1	
Dapma7bEVm029320t1	
Dapma7bEVm017715t1	
Dapma7bEVm020549t1	K02977
Dapma7bEVm016723t1	
Dapma7bEVm017521t1	
Dapma7bEVm013808t1	K12895
Dapma7bEVm019477t1	K01988
Dapma7bEVm016712t1	
Dapma7bEVm019231t1	
Dapma7bEVm016519t1	
Dapma7bEVm017482t1	
Dapma7bEVm019230t1	
Dapma7bEVm024483t1	
Dapma7bEVm024530t1	K03258
Dapma7bEVm019558t1	
Dapma7bEVm013351t1	K13044
Dapma7bEVm019770t1	
Dapma7bEVm019110t1	
Dapma7bEVm019772t1	
Dapma7bEVm019722t1	
Dapma7bEVm008550t1	
Dapma7bEVm017085t1	K02973
Dapma7bEVm017599t1	
Dapma7bEVm017625t1	K04097
Dapma7bEVm016733t1	K04097
Dapma7bEVm021097t1	K15455
Dapma7bEVm019990t1	K04097
Dapma7bEVm016036t1	
Dapma7bEVm017549t1	K00134
Dapma7bEVm019604t1	K01988
Dapma7bEVm016725t1	K10373
Dapma7bEVm017538t1	
Dapma7bEVm022929t1	
Dapma7bEVm013352t1	K02539
Dapma7bEVm024532t1	K11490
Dapma7bEVm030432t1	
Dapma7bEVm020408t1	K02966
Dapma7bEVm017600t1	K02984
Dapma7bEVm020581t1	K02264
Dapma7bEVm019535t1	
Dapma7bEVm019496t1	
Dapma7bEVm021736t1	K08762
Dapma7bEVm019421t1	K02925
Dapma7bEVm019906t1	K02937
Dapma7bEVm020135t1	K02985
Dapma7bEVm029011t1	
Dapma7bEVm017057t1	
Dapma7bEVm022082t1	K02268
Dapma7bEVm017563t1	
Dapma7bEVm024545t1	K10638
Dapma7bEVm019985t1	K02877
Dapma7bEVm020524t1	K02889
Dapma7bEVm017684t1	K02958
Dapma7bEVm013356t1	
Dapma7bEVm017713t1	K02976
Dapma7bEVm020920t1	K02266
Dapma7bEVm017703t1	K02957
Dapma7bEVm021044t1	K02962
Dapma7bEVm017705t1	K02270
Dapma7bEVm028188t1	
Dapma7bEVm020622t1	K02901
Dapma7bEVm025228t1	K01519
Dapma7bEVm019986t1	K02877
Dapma7bEVm020373t1	K02896
Dapma7bEVm024552t1	K14538
Dapma7bEVm020741t1	K02883
Dapma7bEVm019301t1	K00382
Dapma7bEVm020648t1	K08752
Dapma7bEVm019376t1	
Dapma7bEVm021189t1	K00416
Dapma7bEVm017042t1	K01988
Dapma7bEVm019984t1	K02873
Dapma7bEVm017487t1	K02145
Dapma7bEVm024565t1	K13999
Dapma7bEVm024509t1	
Dapma7bEVm019085t1	K14999
Dapma7bEVm019302t1	K14999
Dapma7bEVm014347t1	K12311
Dapma7bEVm013806t1	
Dapma7bEVm019367t1	
Dapma7bEVm025229t1	K16338
Dapma7bEVm019434t1	K10719
Dapma7bEVm017632t1	K03232
Dapma7bEVm021155t1	K02910
Dapma7bEVm017669t1	K02134
Dapma7bEVm017522t1	K08057
Dapma7bEVm014367t1	K06266
Dapma7bEVm021923t1	K02152
Dapma7bEVm016521t1	K08058
Dapma7bEVm013798t1	K11973
Dapma7bEVm016531t1	
Dapma7bEVm017496t1	K14999
Dapma7bEVm020116t1	K13279
Dapma7bEVm020082t1	K02989
Dapma7bEVm024571t1	K00600
Dapma7bEVm021621t1	K02921
Dapma7bEVm019087t1	K07888
Dapma7bEVm017589t1	K24262
Dapma7bEVm024535t1	K18763
Dapma7bEVm016736t1	
Dapma7bEVm014380t1	
Dapma7bEVm019597t1	K13247
Dapma7bEVm025638t1	
Dapma7bEVm017724t1	K02924
Dapma7bEVm020477t1	K02917
Dapma7bEVm014404t1	K15697
Dapma7bEVm017534t1	
Dapma7bEVm014358t1	K19934
Dapma7bEVm020875t1	K03965
Dapma7bEVm019534t1	K01379
Dapma7bEVm013809t1	K24348
Dapma7bEVm019831t1	
Dapma7bEVm019717t1	K17095
Dapma7bEVm023174t1	
Dapma7bEVm024738t1	
Dapma7bEVm024619t1	K05616
Dapma7bEVm019974t1	K00069
Dapma7bEVm024664t1	K19478
Dapma7bEVm024972t1	K08270
Dapma7bEVm019451t1	K00030
Dapma7bEVm017505t1	K02144
Dapma7bEVm019638t1	K06497
Dapma7bEVm019589t1	
Dapma7bEVm017701t1	K02912
Dapma7bEVm019112t1	
Dapma7bEVm014389t1	K08565
Dapma7bEVm025566t1	
Dapma7bEVm017551t1	
Dapma7bEVm014371t1	
Dapma7bEVm019643t1	K00469
Dapma7bEVm020769t1	K02151
Dapma7bEVm017651t1	
Dapma7bEVm014370t1	
Dapma7bEVm021176t1	K02966
Dapma7bEVm019931t1	
Dapma7bEVm017516t1	
Dapma7bEVm019584t1	
Dapma7bEVm024620t1	
Dapma7bEVm017559t1	K01312
Dapma7bEVm025008t1	
Dapma7bEVm017044t1	
Dapma7bEVm017055t1	K14027
Dapma7bEVm019675t1	
Dapma7bEVm020406t1	K15730
Dapma7bEVm017051t1	K23146
Dapma7bEVm014391t1	K26166
Dapma7bEVm021318t1	K02958
Dapma7bEVm008571t1	
Dapma7bEVm017546t1	K03247
Dapma7bEVm028742t1	
Dapma7bEVm014343t1	
Dapma7bEVm017636t1	
Dapma7bEVm017652t1	
Dapma7bEVm020020t1	K03768
Dapma7bEVm016714t1	
Dapma7bEVm019416t1	
Dapma7bEVm019631t1	
Dapma7bEVm017711t1	K02903
Dapma7bEVm017528t1	
Dapma7bEVm020589t1	K06910
Dapma7bEVm017502t1	
Dapma7bEVm021254t1	K02920
Dapma7bEVm019895t1	
Dapma7bEVm026259t1	
Dapma7bEVm019372t1	K10719
Dapma7bEVm019156t1	
Dapma7bEVm014381t1	K10127
Dapma7bEVm019868t1	
Dapma7bEVm019975t1	
Dapma7bEVm020731t1	K05759
Dapma7bEVm014392t1	
Dapma7bEVm020079t1	K20347
Dapma7bEVm019921t1	
Dapma7bEVm021939t1	
Dapma7bEVm019836t1	
Dapma7bEVm017614t1	K03941
Dapma7bEVm013008t1	
Dapma7bEVm024860t1	
Dapma7bEVm019605t1	K19514
Dapma7bEVm026127t1	
Dapma7bEVm019973t1	K01312
Dapma7bEVm021128t1	
Dapma7bEVm019399t1	K00787
Dapma7bEVm017689t1	
Dapma7bEVm019012t1	
Dapma7bEVm017676t1	K03966
Dapma7bEVm017649t1	K00237
Dapma7bEVm017539t1	K01363
Dapma7bEVm017643t1	K03961
Dapma7bEVm020676t1	K26501
Dapma7bEVm017548t1	K11279
Dapma7bEVm020042t1	
Dapma7bEVm017574t1	K00831
Dapma7bEVm020645t1	K03963
Dapma7bEVm021059t1	K18041
Dapma7bEVm020242t1	K20526
Dapma7bEVm021599t1	K02894
Dapma7bEVm020288t1	K20526
Dapma7bEVm017533t1	
Dapma7bEVm020403t1	
Dapma7bEVm020126t1	
Dapma7bEVm021253t1	K03951
Dapma7bEVm019504t1	K22369
Dapma7bEVm020820t1	
Dapma7bEVm019846t1	K00939
Dapma7bEVm019553t1	
Dapma7bEVm017557t1	K17818
Dapma7bEVm019474t1	
Dapma7bEVm019719t1	K01689
Dapma7bEVm020535t1	
Dapma7bEVm020921t1	K03949
Dapma7bEVm021154t1	
Dapma7bEVm020747t1	K01185
Dapma7bEVm017535t1	
Dapma7bEVm017720t1	K03938
Dapma7bEVm020313t1	K17795
Dapma7bEVm019880t1	K03943
Dapma7bEVm020276t1	K09577
Dapma7bEVm020435t1	K05754
Dapma7bEVm017553t1	
Dapma7bEVm019645t1	
Dapma7bEVm020113t1	K13250
Dapma7bEVm017604t1	K02149
Dapma7bEVm020094t1	K20526
Dapma7bEVm020078t1	
Dapma7bEVm017621t1	K02871
Dapma7bEVm024739t1	K01021
Dapma7bEVm020534t1	
Dapma7bEVm017514t1	K06258
Dapma7bEVm017541t1	K00121
Dapma7bEVm021080t1	K00621
Dapma7bEVm020281t1	K01823
Dapma7bEVm019669t1	
Dapma7bEVm021084t1	
Dapma7bEVm021894t1	
Dapma7bEVm020266t1	K05770
Dapma7bEVm020371t1	K11351
Dapma7bEVm022254t1	
Dapma7bEVm019771t1	K02736
Dapma7bEVm021574t1	K07766
Dapma7bEVm021515t1	
Dapma7bEVm020940t1	
Dapma7bEVm019750t1	
Dapma7bEVm021431t1	K00417
Dapma7bEVm020447t1	K00799
Dapma7bEVm021645t1	K18172
Dapma7bEVm019965t1	
Dapma7bEVm020370t1	
Dapma7bEVm020059t1	K06497
Dapma7bEVm021517t1	K17778
Dapma7bEVm020529t1	K00235
Dapma7bEVm020399t1	K12947
Dapma7bEVm020037t1	
Dapma7bEVm021015t1	K03868
Dapma7bEVm020849t1	K17430
Dapma7bEVm020619t1	
Dapma7bEVm020758t1	
Dapma7bEVm021045t1	
Dapma7bEVm019869t1	K24013
Dapma7bEVm020646t1	
Dapma7bEVm020792t1	K03882
Dapma7bEVm020212t1	K23565
Dapma7bEVm020793t1	K02918
Dapma7bEVm020961t1	K03950
Dapma7bEVm021237t1	K02919
Dapma7bEVm020282t1	K02734
Dapma7bEVm008431t1	
Dapma7bEVm026279t1	
Dapma7bEVm008240t1	K01724
Dapma7bEVm028039t1	K03131
Dapma7bEVm030434t1	K22138
Dapma7bEVm019612t1	K03439
Dapma7bEVm007786t1	K19941
Dapma7bEVm007976t1	K22863
Dapma7bEVm002843t1	K06497
Dapma7bEVm008231t1	
Dapma7bEVm016047t1	K02895
Dapma7bEVm007994t1	K19373
Dapma7bEVm028024t1	
Dapma7bEVm007257t1	K13523
Dapma7bEVm022832t1	
Dapma7bEVm004770t1	
Dapma7bEVm009992t1	
Dapma7bEVm029031t1	
Dapma7bEVm027808t1	
Dapma7bEVm000514t1	
Dapma7bEVm000750t1	
Dapma7bEVm008375t1	K03537
Dapma7bEVm006474t1	
Dapma7bEVm018607t1	K04255
Dapma7bEVm008026t1	K10768
Dapma7bEVm008349t1	K02649
Dapma7bEVm016042t1	
Dapma7bEVm011349t1	K10656
Dapma7bEVm019511t1	
Dapma7bEVm017045t1	
Dapma7bEVm016524t1	
Dapma7bEVm019160t1	K20823
Dapma7bEVm018473t1	
Dapma7bEVm007617t1	
Dapma7bEVm012040t1	K17404
Dapma7bEVm019582t1	
Dapma7bEVm006041t1	K11600
Dapma7bEVm010924t1	
Dapma7bEVm003320t1	
Dapma7bEVm013388t1	
Dapma7bEVm012148t1	
Dapma7bEVm019356t1	K09448
Dapma7bEVm008389t1	K04798
Dapma7bEVm028464t1	K23195
Dapma7bEVm018953t1	
Dapma7bEVm000720t1	
Dapma7bEVm002887t1	
Dapma7bEVm016730t1	
Dapma7bEVm015432t1	
Dapma7bEVm001192t1	K22470
Dapma7bEVm007347t1	
Dapma7bEVm016374t1	
Dapma7bEVm023239t1	K07972
Dapma7bEVm018912t1	
Dapma7bEVm003325t1	
Dapma7bEVm006949t1	K11254
Dapma7bEVm003996t1	K06184
Dapma7bEVm014959t1	
Dapma7bEVm008428t1	
Dapma7bEVm027478t1	K13218
Dapma7bEVm019928t1	
Dapma7bEVm008182t1	K01988
Dapma7bEVm005462t1	K17491
Dapma7bEVm026751t1	
Dapma7bEVm028239t1	K12260
Dapma7bEVm019680t1	K11543
Dapma7bEVm019453t1	
Dapma7bEVm007983t1	K00444
Dapma7bEVm006270t1	
Dapma7bEVm008585t1	
Dapma7bEVm029090t1	
Dapma7bEVm028463t1	
Dapma7bEVm005941t1	K13617
Dapma7bEVm015004t1	
Dapma7bEVm006588t1	
Dapma7bEVm007043t1	
Dapma7bEVm023111t1	K00758
Dapma7bEVm000503t1	K02306
Dapma7bEVm004162t1	K20471
Dapma7bEVm009108t1	
Dapma7bEVm008346t1	
Dapma7bEVm028118t1	K11170
Dapma7bEVm029268t1	K19932
Dapma7bEVm029595t1	
Dapma7bEVm009041t1	K07943
Dapma7bEVm016371t1	
Dapma7bEVm019592t1	
Dapma7bEVm001524t1	K12307
Dapma7bEVm002115t1	K24721
Dapma7bEVm028347t1	
Dapma7bEVm023830t1	
Dapma7bEVm019360t1	
Dapma7bEVm011931t1	
Dapma7bEVm013377t1	
Dapma7bEVm011802t1	
