,Daphnia_magna,Drosophilia_melanogaster,Homo_sapiens,Daphnia_pulex
56,Dapma7bEVm018838,FBgn0032006,CSF1R;FLT1;FLT3;FLT4;KDR;KIT;PDGFRA;PDGFRB,DAPPUDRAFT_114299;DAPPUDRAFT_253800;DAPPUDRAFT_302458;DAPPUDRAFT_302459;DAPPUDRAFT_305264;DAPPUDRAFT_308023;DAPPUDRAFT_325477;DAPPUDRAFT_331276;DAPPUDRAFT_4284;DAPPUDRAFT_43719;DAPPUDRAFT_44144;DAPPUDRAFT_53509;DAPPUDRAFT_58353;DAPPUDRAFT_58385;DAPPUDRAFT_64428
57,Dapma7bEVm002456,,,
58,Dapma7bEVm023308,,,
59,Dapma7bEVm030122,,,
60,Dapma7bEVm018535,FBgn0029966,,DAPPUDRAFT_300036;DAPPUDRAFT_302648;DAPPUDRAFT_312020;DAPPUDRAFT_327034;DAPPUDRAFT_327312
61,Dapma7bEVm023366,FBgn0015032,CYP2A13;CYP2A6;CYP2A7;CYP2B6;CYP2C18;CYP2C19;CYP2C8;CYP2C9;CYP2D6;CYP2D7;CYP2E1;CYP2F1;CYP2J2;CYP2R1;CYP2S1;CYP2U1;CYP2W1;DKFZp686I24235,
62,Dapma7bEVm023390,,,DAPPUDRAFT_346851
63,Dapma7bEVm023409,,EIF4G1;EIF4G3,DAPPUDRAFT_119606;DAPPUDRAFT_198899;DAPPUDRAFT_225020;DAPPUDRAFT_244701;DAPPUDRAFT_300388;DAPPUDRAFT_331348;DAPPUDRAFT_5482;DAPPUDRAFT_55191;DAPPUDRAFT_5900;DAPPUDRAFT_5957;DAPPUDRAFT_67452
64,Dapma7bEVm020928,,H3.Y;H3F3A;H3F3B;H3F3C;HIST2H3A;HIST2H3C;HIST2H3D;HIST3H3,DAPPUDRAFT_231307;DAPPUDRAFT_235586;DAPPUDRAFT_235594;DAPPUDRAFT_235620;DAPPUDRAFT_235802;DAPPUDRAFT_246214;DAPPUDRAFT_255862;DAPPUDRAFT_304645;DAPPUDRAFT_43402;DAPPUDRAFT_43405;DAPPUDRAFT_43440;DAPPUDRAFT_43441;DAPPUDRAFT_43467;DAPPUDRAFT_43482;DAPPUDRAFT_43597;DAPPUDRAFT_43602;DAPPUDRAFT_43804;DAPPUDRAFT_43862;DAPPUDRAFT_43863;DAPPUDRAFT_43874;DAPPUDRAFT_44114;DAPPUDRAFT_44115;DAPPUDRAFT_44116;DAPPUDRAFT_44125;DAPPUDRAFT_44149;DAPPUDRAFT_44153;DAPPUDRAFT_67712
65,Dapma7bEVm021188,FBgn0051618;FBgn0053808;FBgn0053814;FBgn0053817;FBgn0053820;FBgn0053823;FBgn0053826;FBgn0053829;FBgn0053832;FBgn0053835;FBgn0053838;FBgn0053841;FBgn0053844;FBgn0053847;FBgn0053850;FBgn0053853;FBgn0053856;FBgn0053859;FBgn0053862;FBgn0053865,H2AFJ;H2AFX;HIST1H2AA;HIST1H2AB;HIST1H2AC;HIST1H2AD;HIST1H2AE;HIST1H2AG;HIST1H2AH;HIST1H2AI;HIST1H2AJ;HIST1H2AK;HIST1H2AL;HIST1H2AM;HIST2H2AA3;HIST2H2AA4;HIST2H2AB;HIST2H2AC;HIST3H2A,DAPPUDRAFT_230378;DAPPUDRAFT_235589;DAPPUDRAFT_235633;DAPPUDRAFT_235635;DAPPUDRAFT_235671;DAPPUDRAFT_235694;DAPPUDRAFT_235741;DAPPUDRAFT_235770;DAPPUDRAFT_235794;DAPPUDRAFT_235799;DAPPUDRAFT_235871;DAPPUDRAFT_235878;DAPPUDRAFT_235943;DAPPUDRAFT_235955;DAPPUDRAFT_235966;DAPPUDRAFT_235969;DAPPUDRAFT_255864;DAPPUDRAFT_268986;DAPPUDRAFT_269644;DAPPUDRAFT_312356
66,Dapma7bEVm023463,,,DAPPUDRAFT_330219
67,Dapma7bEVm008415,,,DAPPUDRAFT_8603
68,Dapma7bEVm018865,,,DAPPUDRAFT_303265
69,Dapma7bEVm023503,,,DAPPUDRAFT_108171;DAPPUDRAFT_111091;DAPPUDRAFT_318812
70,Dapma7bEVm023512,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
71,Dapma7bEVm030152,,,DAPPUDRAFT_119650;DAPPUDRAFT_320366
72,Dapma7bEVm023540,,ALG12;ZBED1;ZBED4;ZBED6,DAPPUDRAFT_243976;DAPPUDRAFT_250266
73,Dapma7bEVm023559,,,
74,Dapma7bEVm023568,,THAP12,DAPPUDRAFT_322561
75,Dapma7bEVm023591,FBgn0028931;FBgn0031874,ALG12;ZBED1;ZBED4;ZBED6,DAPPUDRAFT_244161
76,Dapma7bEVm023603,,,
77,Dapma7bEVm024646,,OR2V1;OR2V2,
78,Dapma7bEVm018708,,,
79,Dapma7bEVm019889,,GIN1,DAPPUDRAFT_261119
80,Dapma7bEVm030186,,,DAPPUDRAFT_271149
81,Dapma7bEVm019048,,,DAPPUDRAFT_113299;DAPPUDRAFT_238980;DAPPUDRAFT_328807
82,Dapma7bEVm023748,,,
83,Dapma7bEVm023745,,,
84,Dapma7bEVm015647,FBgn0038295;FBgn0038435;FBgn0038436,GUCY1A1;GUCY1A2;GUCY1B1,DAPPUDRAFT_319721
85,Dapma7bEVm030214,,ASPRV1,
86,Dapma7bEVm023835,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
87,Dapma7bEVm023861,,,DAPPUDRAFT_331414
88,Dapma7bEVm030231,,,DAPPUDRAFT_119725;DAPPUDRAFT_323884;DAPPUDRAFT_326573
89,Dapma7bEVm012200,FBgn0000239,GMPS,
90,Dapma7bEVm030257,,,
91,Dapma7bEVm024009,,THAP9,
92,Dapma7bEVm024016,,,DAPPUDRAFT_108478
93,Dapma7bEVm024013,,,
94,Dapma7bEVm024087,,,DAPPUDRAFT_328779;DAPPUDRAFT_334081
95,Dapma7bEVm030291,,,
96,Dapma7bEVm024110,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
97,Dapma7bEVm024124,,,
98,Dapma7bEVm024139,,,
99,Dapma7bEVm024156,,THAP9,DAPPUDRAFT_248562
100,Dapma7bEVm014828,,C17orf113;KIAA1586,
101,Dapma7bEVm024179,,,
102,Dapma7bEVm030308,,,
103,Dapma7bEVm024221,,,
104,Dapma7bEVm018646,FBgn0052227,,DAPPUDRAFT_233246
105,Dapma7bEVm030327,,GIN1,DAPPUDRAFT_113329;DAPPUDRAFT_237978;DAPPUDRAFT_242733;DAPPUDRAFT_250838;DAPPUDRAFT_252641;DAPPUDRAFT_320051;DAPPUDRAFT_331055
106,Dapma7bEVm024252,FBgn0034054,,
107,Dapma7bEVm030331,,,
108,Dapma7bEVm030343,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
109,Dapma7bEVm030345,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
110,Dapma7bEVm030348,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
111,Dapma7bEVm024333,,,
112,Dapma7bEVm030357,,,
113,Dapma7bEVm024358,,,DAPPUDRAFT_346908
114,Dapma7bEVm024396,,HSPA12A;HSPA12B,
115,Dapma7bEVm016699,,,
116,Dapma7bEVm024443,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
117,Dapma7bEVm030371,,,
118,Dapma7bEVm024467,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
119,Dapma7bEVm017024,FBgn0264695;FBgn0265434,MYH10;MYH11;MYH14;MYH9,DAPPUDRAFT_306188
120,Dapma7bEVm020677,FBgn0285948,RPL27A,DAPPUDRAFT_231165
121,Dapma7bEVm016528,FBgn0027552;FBgn0033101;FBgn0035476;FBgn0036183;FBgn0036290;FBgn0058064;FBgn0086254,AKR1A1;AKR1B1;AKR1B10;AKR1B15;AKR1D1;AKR1E2;HEL-S-165mP,DAPPUDRAFT_127555;DAPPUDRAFT_191566;DAPPUDRAFT_208580;DAPPUDRAFT_300057;DAPPUDRAFT_300058;DAPPUDRAFT_45302
122,Dapma7bEVm019375,,LIPT1;MITD1,
123,Dapma7bEVm020900,FBgn0261596,RPS24,DAPPUDRAFT_230652
124,Dapma7bEVm019412,FBgn0036762,DLD,
125,Dapma7bEVm020227,FBgn0014020,ARHA;RHOA;RHOB;RHOC,DAPPUDRAFT_301996
126,Dapma7bEVm019760,FBgn0014026,RPL7A,DAPPUDRAFT_231352
127,Dapma7bEVm024617,FBgn0001291,JUN;JUNB;JUND,
128,Dapma7bEVm025281,,,
129,Dapma7bEVm008225,,CFAP97D1;CFAP97D2,DAPPUDRAFT_259804
130,Dapma7bEVm029117,,,DAPPUDRAFT_119396;DAPPUDRAFT_238573;DAPPUDRAFT_245983;DAPPUDRAFT_246866;DAPPUDRAFT_314780
131,Dapma7bEVm029162,,COL6A1;COL6A2,
132,Dapma7bEVm007184,,,
133,Dapma7bEVm028647,FBgn0023541,CYP4V2;CYP4X1,
134,Dapma7bEVm002744,FBgn0022700;FBgn0022702;FBgn0034580;FBgn0034582;FBgn0038180;FBgn0263132,CTBS,DAPPUDRAFT_220226
135,Dapma7bEVm017686,,,
136,Dapma7bEVm020983,FBgn0031830;FBgn0031831,,DAPPUDRAFT_231281
137,Dapma7bEVm017068,,,
138,Dapma7bEVm019117,FBgn0263706,ARHGEF10;ARHGEF10L;ARHGEF17,DAPPUDRAFT_250987;DAPPUDRAFT_250988
139,Dapma7bEVm022781,,THAP9,
140,Dapma7bEVm028503,,,DAPPUDRAFT_243152;DAPPUDRAFT_325959
141,Dapma7bEVm015858,,CHI3L1;CHI3L2;CHIA;CHIT1;OVGP1,DAPPUDRAFT_194525
142,Dapma7bEVm030431,,,
143,Dapma7bEVm017722,,,
144,Dapma7bEVm017085,FBgn0033912,RPS23,DAPPUDRAFT_230600
145,Dapma7bEVm029011,,,
146,Dapma7bEVm025228,FBgn0031663,ITPA,DAPPUDRAFT_320031
147,Dapma7bEVm024509,,ZNF106,
148,Dapma7bEVm014347,FBgn0027611;FBgn0032066;FBgn0032067;FBgn0032068;FBgn0032069;FBgn0032253,MAN2B1;MAN2B2,
149,Dapma7bEVm020477,FBgn0037328,RPL35A,DAPPUDRAFT_318183
150,Dapma7bEVm019831,FBgn0026077,,DAPPUDRAFT_230004
151,Dapma7bEVm017516,FBgn0032663;FBgn0033826;FBgn0033827,,
152,Dapma7bEVm020589,FBgn0011294;FBgn0032453;FBgn0037431;FBgn0037432;FBgn0037433;FBgn0038972;FBgn0038973;FBgn0265272,,DAPPUDRAFT_305529;DAPPUDRAFT_311676;DAPPUDRAFT_42659
153,Dapma7bEVm019975,FBgn0037354;FBgn0040349;FBgn0051546;FBgn0051548;FBgn0051549,HSD17B14,
154,Dapma7bEVm020242,FBgn0002789;FBgn0038774,CNN1;CNN2;CNN3;HEL-S-14;TAGLN2;TAGLN3,DAPPUDRAFT_304489
155,Dapma7bEVm019719,FBgn0000579,ENO1;ENO2;ENO3,
156,Dapma7bEVm017535,,,
157,Dapma7bEVm020276,FBgn0010470,FKBP14;FKBP7,
158,Dapma7bEVm017514,FBgn0029896,SV2A;SV2B;SV2C,
159,Dapma7bEVm020371,FBgn0027785,NDUFB11,
160,Dapma7bEVm021045,,,
161,Dapma7bEVm020646,,,
162,Dapma7bEVm023804,,,
163,Dapma7bEVm018911,,,
164,Dapma7bEVm016730,,,DAPPUDRAFT_306593;DAPPUDRAFT_322937
165,Dapma7bEVm028946,,,
166,Dapma7bEVm030436,,,
167,Dapma7bEVm012596,,,
168,Dapma7bEVm014369,FBgn0001215;FBgn0004237;FBgn0004903,HNRNPA0;HNRNPA1;HNRNPA1L2;HNRNPA2B1;HNRNPA3;HNRPA1;RP11-78J21.1,DAPPUDRAFT_307331
169,Dapma7bEVm007653,,,DAPPUDRAFT_304692
170,Dapma7bEVm028234,,,
171,Dapma7bEVm018933,,,
172,Dapma7bEVm028691,,,
173,Dapma7bEVm029035,FBgn0035023,,DAPPUDRAFT_307029;DAPPUDRAFT_55390
174,Dapma7bEVm013800,FBgn0013307;FBgn0013308,ADC;AZIN1;AZIN2;ODC1,DAPPUDRAFT_204767
175,Dapma7bEVm017478,,,
176,Dapma7bEVm028303,,,DAPPUDRAFT_96224
177,Dapma7bEVm024380,,,DAPPUDRAFT_266424
178,Dapma7bEVm029180,,,DAPPUDRAFT_114772
179,Dapma7bEVm019659,,,
180,Dapma7bEVm023066,,,
181,Dapma7bEVm024528,FBgn0035016;FBgn0265297,PABPC1;PABPC1L;PABPC1L2A;PABPC1L2B;PABPC3;PABPC4;PABPC4L;PABPC5,DAPPUDRAFT_299632
182,Dapma7bEVm017719,FBgn0032299,,
183,Dapma7bEVm017723,FBgn0011227,UQCR10,DAPPUDRAFT_63495
184,Dapma7bEVm028582,FBgn0011584,SEC62;TLOC1,DAPPUDRAFT_71021
185,Dapma7bEVm010095,,,DAPPUDRAFT_307774
186,Dapma7bEVm028726,,,
187,Dapma7bEVm023468,,,
188,Dapma7bEVm027329,,,
189,Dapma7bEVm024088,,,
190,Dapma7bEVm028936,,,
191,Dapma7bEVm006221,,GPR83,DAPPUDRAFT_12943
192,Dapma7bEVm023242,,,DAPPUDRAFT_240663
193,Dapma7bEVm017695,FBgn0086691,HRSP12;RIDA,DAPPUDRAFT_231265
194,Dapma7bEVm017069,,,
195,Dapma7bEVm027483,,,
196,Dapma7bEVm005298,,ABRAXAS1;ABRAXAS2,DAPPUDRAFT_227109
197,Dapma7bEVm001042,FBgn0030087;FBgn0031995,PHKA1;PHKA2;PHKB,DAPPUDRAFT_190561
198,Dapma7bEVm013342,FBgn0028931;FBgn0031874,ALG12;ZBED1;ZBED4;ZBED6,
199,Dapma7bEVm000674,,RUFY1;RUFY2;RUFY3,DAPPUDRAFT_193440
200,Dapma7bEVm006351,,,DAPPUDRAFT_253496;DAPPUDRAFT_253509;DAPPUDRAFT_255562;DAPPUDRAFT_256751;DAPPUDRAFT_256759;DAPPUDRAFT_269508;DAPPUDRAFT_325451;DAPPUDRAFT_325540
201,Dapma7bEVm000069,FBgn0036302,SOWAHA;SOWAHB;SOWAHC;SOWAHD,DAPPUDRAFT_104949;DAPPUDRAFT_53087
202,Dapma7bEVm000799,FBgn0036369;FBgn0036844;FBgn0243512,DUSP16;DUSP8,DAPPUDRAFT_48778
203,Dapma7bEVm001497,FBgn0000567;FBgn0005659,SPDEF,DAPPUDRAFT_8447;DAPPUDRAFT_9208
204,Dapma7bEVm008179,,,DAPPUDRAFT_107751
205,Dapma7bEVm016731,,,DAPPUDRAFT_306593;DAPPUDRAFT_322937
206,Dapma7bEVm030448,FBgn0031286,RCC1L,DAPPUDRAFT_304656
207,Dapma7bEVm001775,,,DAPPUDRAFT_308852
208,Dapma7bEVm022870,,,
209,Dapma7bEVm006811,FBgn0039274,IMP4,DAPPUDRAFT_100904;DAPPUDRAFT_100907;DAPPUDRAFT_68025
210,Dapma7bEVm007294,,,DAPPUDRAFT_319275
211,Dapma7bEVm028426,,,
212,Dapma7bEVm027454,FBgn0038511,TPO,DAPPUDRAFT_224067;DAPPUDRAFT_301956;DAPPUDRAFT_317231;DAPPUDRAFT_317232
213,Dapma7bEVm029348,,,DAPPUDRAFT_103845;DAPPUDRAFT_122808;DAPPUDRAFT_125559;DAPPUDRAFT_254929;DAPPUDRAFT_323887;DAPPUDRAFT_325610;DAPPUDRAFT_330352;DAPPUDRAFT_332362;DAPPUDRAFT_336533;DAPPUDRAFT_95627
214,Dapma7bEVm023257,,DSCAM;DSCAML1,
215,Dapma7bEVm016031,,,
216,Dapma7bEVm016163,,,
217,Dapma7bEVm027775,,CLK1;CLK2;CLK3;CLK4,DAPPUDRAFT_299765;DAPPUDRAFT_299766
218,Dapma7bEVm006828,FBgn0038494;FBgn0038498,,DAPPUDRAFT_55430
219,Dapma7bEVm000321,FBgn0000473;FBgn0013771;FBgn0013772;FBgn0013773;FBgn0015714;FBgn0025454;FBgn0030949;FBgn0031126;FBgn0031182;FBgn0031726;FBgn0033065;FBgn0033121;FBgn0033302;FBgn0033304;FBgn0033696;FBgn0033697;FBgn0033978;FBgn0033979;FBgn0033980;FBgn0033981;FBgn0033982;FBgn0034756;FBgn0038194;FBgn0039006;FBgn0039519,CYP3A4;CYP3A43;CYP3A5;CYP3A7;CYP3A7-CYP3A51P;TBXAS1,DAPPUDRAFT_221817
220,Dapma7bEVm029399,FBgn0003277;FBgn0019938;FBgn0030687,POLR2A;POLR3A,DAPPUDRAFT_222950
221,Dapma7bEVm027694,FBgn0015544,RPAP3,
222,Dapma7bEVm028887,,,DAPPUDRAFT_222762
223,Dapma7bEVm027534,,RSAD2,
224,Dapma7bEVm006600,,METTL24,DAPPUDRAFT_105421;DAPPUDRAFT_107780;DAPPUDRAFT_110191;DAPPUDRAFT_111599;DAPPUDRAFT_111605;DAPPUDRAFT_111606;DAPPUDRAFT_118494;DAPPUDRAFT_225476;DAPPUDRAFT_234477;DAPPUDRAFT_234478;DAPPUDRAFT_239346;DAPPUDRAFT_239884;DAPPUDRAFT_239885;DAPPUDRAFT_246507;DAPPUDRAFT_248919;DAPPUDRAFT_253732;DAPPUDRAFT_253759;DAPPUDRAFT_260923;DAPPUDRAFT_266643;DAPPUDRAFT_266929;DAPPUDRAFT_274746;DAPPUDRAFT_311810;DAPPUDRAFT_325714;DAPPUDRAFT_327649;DAPPUDRAFT_330617;DAPPUDRAFT_330637;DAPPUDRAFT_7071;DAPPUDRAFT_95368
225,Dapma7bEVm015279,,,
226,Dapma7bEVm014430,,,
227,Dapma7bEVm006936,,,
228,Dapma7bEVm014892,,,
229,Dapma7bEVm013368,,,
230,Dapma7bEVm030462,,,
231,Dapma7bEVm027210,,,
232,Dapma7bEVm014328,,,
233,Dapma7bEVm027213,,,
234,Dapma7bEVm013855,,,
235,Dapma7bEVm027204,,,
236,Dapma7bEVm024641,,,
237,Dapma7bEVm012476,,,
238,Dapma7bEVm013003,,,
239,Dapma7bEVm008322,,,
240,Dapma7bEVm030479,,,
241,Dapma7bEVm018381,,,
242,Dapma7bEVm012036,,ALX1;ALX3;ALX4;ARX;DRGX;HEL23;RAX;RAX2,DAPPUDRAFT_8649
243,Dapma7bEVm030484,FBgn0264895;FBgn0265597,RAP1GA1;RAP1GAP;RAP1GAP2,DAPPUDRAFT_300644
244,Dapma7bEVm019197,FBgn0031734;FBgn0039594;FBgn0053970,,DAPPUDRAFT_104532;DAPPUDRAFT_228828;DAPPUDRAFT_328125;DAPPUDRAFT_328127;DAPPUDRAFT_332183;DAPPUDRAFT_347450;DAPPUDRAFT_347474;DAPPUDRAFT_347478;DAPPUDRAFT_99394
245,Dapma7bEVm027044,,,
246,Dapma7bEVm018920,,,DAPPUDRAFT_322210
247,Dapma7bEVm024005,,,
248,Dapma7bEVm025444,,,
249,Dapma7bEVm007501,,INMT;NNMT;PNMT,DAPPUDRAFT_236398;DAPPUDRAFT_313127
250,Dapma7bEVm022499,FBgn0052702;FBgn0259140,CUBN,DAPPUDRAFT_221966
251,Dapma7bEVm027153,,,
252,Dapma7bEVm016313,,,
253,Dapma7bEVm014312,,,
254,Dapma7bEVm026088,,,
255,Dapma7bEVm018382,,,
256,Dapma7bEVm026812,,,
257,Dapma7bEVm027217,,,
258,Dapma7bEVm018989,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
259,Dapma7bEVm017466,,,
260,Dapma7bEVm027150,,,
261,Dapma7bEVm014251,,,
262,Dapma7bEVm026904,,,
263,Dapma7bEVm020674,,,
264,Dapma7bEVm026914,,,
265,Dapma7bEVm013853,,,
266,Dapma7bEVm014515,,,
267,Dapma7bEVm026722,,,
268,Dapma7bEVm012550,FBgn0037988;FBgn0261955,CS,
269,Dapma7bEVm017984,,,
270,Dapma7bEVm014147,FBgn0014396,,DAPPUDRAFT_103010;DAPPUDRAFT_235857;DAPPUDRAFT_236054;DAPPUDRAFT_243157;DAPPUDRAFT_309208;DAPPUDRAFT_313767;DAPPUDRAFT_318263;DAPPUDRAFT_97364
271,Dapma7bEVm018613,FBgn0005564,KCND1;KCND2;KCND3,DAPPUDRAFT_20278
272,Dapma7bEVm006955,,,DAPPUDRAFT_112428
273,Dapma7bEVm022027,,,
274,Dapma7bEVm006314,,,DAPPUDRAFT_347250
275,Dapma7bEVm016881,,,
276,Dapma7bEVm019319,,,DAPPUDRAFT_96286
277,Dapma7bEVm014156,,,
278,Dapma7bEVm016653,,,
279,Dapma7bEVm021195,FBgn0027111;FBgn0029002,MDK;PTN,
280,Dapma7bEVm021558,,,
281,Dapma7bEVm019414,FBgn0041775,LSM14A;LSM14B,
282,Dapma7bEVm019682,FBgn0014002;FBgn0033663,ERP70;HEL-S-269;P4HB;PDIA2;PDIA3;PDIA4;PDILT,
283,Dapma7bEVm017885,,,
284,Dapma7bEVm020393,,,
285,Dapma7bEVm020719,,,
286,Dapma7bEVm017195,,,
287,Dapma7bEVm017929,,,
288,Dapma7bEVm019400,,,
289,Dapma7bEVm019798,FBgn0032314;FBgn0036816,DKFZp686E17257;SLC13A1;SLC13A2;SLC13A3;SLC13A4;SLC13A5,
290,Dapma7bEVm021521,,,
291,Dapma7bEVm019968,FBgn0027951,MTA1;MTA2;MTA3,
292,Dapma7bEVm019305,,,
293,Dapma7bEVm021904,,,
294,Dapma7bEVm016639,,,
295,Dapma7bEVm021831,,,
296,Dapma7bEVm018005,,WNT1;WNT6,
297,Dapma7bEVm019646,FBgn0005655;FBgn0032813,PCNA,DAPPUDRAFT_309373
298,Dapma7bEVm022257,FBgn0003041,ECT2;TOPBP1,
299,Dapma7bEVm020774,,,
300,Dapma7bEVm020623,,,
301,Dapma7bEVm021328,,SLC3A1,
302,Dapma7bEVm017975,,,
303,Dapma7bEVm021391,,,
304,Dapma7bEVm021768,,,
305,Dapma7bEVm021931,FBgn0024733,RPL10;RPL10L,
306,Dapma7bEVm021524,,CHDH,
